α1,α2,type
11.25,10.25,1
11.25,10.25,1
11.25,9.75,1
11.25,10,1
11.25,10.5,1
6,5.5,1
6,5.75,1
6,5.5,1
6,5.5,1
6,5.75,1
10,9.5,1
10,9.25,1
10,9,1
10,9.25,1
10,9.25,1
14,11.75,2
14,12,2
14,11.75,2
14,11.75,2
14,12,2
11.5,9.75,2
11.5,10,2
11.5,10,2
11.5,10.25,2
11.5,10,2
9,7.75,2
9,8,2
9,7.75,2
9,7.75,2
9,7.75,2
15,10.5,3
15,10.25,3
15,10.25,3
15,10.25,3
15,10.25,3
10,6.75,3
10,6.75,3
10,6.5,3
10,6.75,3
10,6.75,3
5,3.25,3
5,3.5,3
5,3.5,3
5,3.5,3
5,3.75,3
8.75,9.75,4
8.75,9.5,4
8.75,9.5,4
8.75,9.25,4
8.75,9.25,4
11,11.75,4
11,11.5,4
11,11.5,4
11,11.5,4
11,11.75,4
7,7.25,4
7,7.25,4
7,7.25,4
7,7.25,4
7,7.25,4
