m,R,t,r,M,h
0,0,1.957,44,53,465
0,0,1.960,44,53,465
0,0,2.025,44,53,465
0,0,1.457,44,95,465
0,0,1.456,44,95,465
0,0,1.557,44,95,465
0,0,1.269,44,135,465
0,0,1.252,44,135,465
0,0,1.258,44,135,465
0,0,1.112,44,177,465
0,0,1.067,44,177,465
0,0,1.065,44,177,465
200,200,2.959,44,177,465
200,200,2.944,44,177,465
200,200,2.946,44,177,465
200,200,3.414,44,135,465
200,200,3.407,44,135,465
200,200,3.397,44,135,465
200,200,3.948,44,95,465
200,200,4.158,44,95,465
200,200,4.056,44,95,465
200,200,5.461,44,53,465
200,200,5.522,44,53,465
200,200,5.600,44,53,465
200,160,4.641,44,53,465
200,160,4.498,44,53,465
200,160,4.519,44,53,465
200,160,3.360,44,95,465
200,160,3.404,44,95,465
200,160,3.267,44,95,465
200,160,2.857,44,135,465
200,160,2.924,44,135,465
200,160,2.911,44,135,465
200,160,2.454,44,177,465
200,160,2.463,44,177,465
200,160,2.511,44,177,465
